Date,Close_Prices,High_Prices,Low_Prices,Open_Prices,Volume,Symbol
2011-03-30T00:00:00.000000000,7.18679666519165,7.502699500798676,7.167052267233855,7.384236125738984,30086900,APO
2011-03-31T00:00:00.000000000,7.107819080352783,7.340797654906965,7.072279924697291,7.127562720974008,9582800,APO
2011-04-01T00:00:00.000000000,7.107819080352783,7.198641032284994,7.064382167180156,7.111767959111351,3199400,APO
2011-04-04T00:00:00.000000000,7.060433387756348,7.170999735036975,7.028843110414972,7.1354605788814744,1846600,APO
2011-04-05T00:00:00.000000000,7.099918842315674,7.119663229210353,6.969608901496179,7.060430821697662,2353300,APO
2011-04-06T00:00:00.000000000,7.147307395935059,7.167051037332978,7.0604335661722715,7.111768238881489,474900,APO
2011-04-07T00:00:00.000000000,7.11176872253418,7.2460276020512255,7.107819843351715,7.242078722868761,702100,APO
2011-04-08T00:00:00.000000000,7.107819080352783,7.167050755388068,7.0604332884215895,7.111767959111351,304500,APO
2011-04-11T00:00:00.000000000,7.131511211395264,7.1473067255694085,7.068330661041829,7.084126175215973,486000,APO
2011-04-12T00:00:00.000000000,7.182845592498779,7.242077261943725,7.056484496837153,7.147306440197505,624600,APO
2011-04-13T00:00:00.000000000,7.147307395935059,7.2539248670957654,7.111768238881489,7.2539248670957654,199600,APO
2011-04-14T00:00:00.000000000,7.20653772354126,7.214435479889863,7.1078180286982295,7.11176690687253,408000,APO
2011-04-15T00:00:00.000000000,7.305258750915527,7.380285943569746,7.1907435224868985,7.218385674749133,963000,APO
2011-04-18T00:00:00.000000000,7.178898334503174,7.340798619009516,7.092024496748358,7.305259458686493,720700,APO
2011-04-19T00:00:00.000000000,7.18679666519165,7.234181713946819,7.139410863264711,7.206540309977676,405000,APO
2011-04-20T00:00:00.000000000,7.198643207550049,7.2618237804356225,7.1473092745199605,7.2618237804356225,498200,APO
2011-04-21T00:00:00.000000000,7.151256084442139,7.246026916337774,7.0406897373114194,7.22628252229392,1196100,APO
2011-04-25T00:00:00.000000000,7.131511211395264,7.206538397379307,7.123614207479762,7.123614207479762,280800,APO
2011-04-26T00:00:00.000000000,7.178898334503174,7.202590856994618,7.068331974256913,7.190744219163041,622700,APO
2011-04-27T00:00:00.000000000,7.178898334503174,7.186796093057558,7.123615530965899,7.147308053457343,275400,APO
2011-04-28T00:00:00.000000000,7.151256084442139,7.214436639039229,7.052536373737731,7.151256084442138,539400,APO
2011-04-29T00:00:00.000000000,7.139410018920898,7.182846936119202,7.080178338396099,7.178898056994658,196000,APO
2011-05-02T00:00:00.000000000,7.182845592498779,7.226281748400251,7.080177013980823,7.1354598050399,555700,APO
2011-05-03T00:00:00.000000000,7.214436054229736,7.246026328967542,7.115716351527649,7.119665230016319,377400,APO
2011-05-04T00:00:00.000000000,7.099918842315674,7.242075415271976,7.009096922114191,7.198638517275028,614000,APO
2011-05-05T00:00:00.000000000,7.084127426147461,7.143359108416626,6.989356583882454,7.060434150702432,412200,APO
2011-05-06T00:00:00.000000000,7.095972061157227,7.174948125723562,7.072279543055954,7.174948125723562,405600,APO
