Datetime,Open_Prices,Low_Prices,High_Prices,Close_Prices,Volume
2025-01-16 09:30:00,237.35,232.7,238.01,232.82,9975988
2025-01-16 10:30:00,232.8,230.16,233.02,230.59,11059128
2025-01-16 11:30:00,230.59,229.75,231.1,230.92,8413031
2025-01-16 12:30:00,230.92,229.07,231.2,229.19,6223191
2025-01-16 13:30:00,229.19,228.56,229.4,229.18,5844777
2025-01-16 14:30:00,229.18,228.9,230.07,229.03,6467685
2025-01-16 15:30:00,229.01,227.7,229.29,228.17,10832316
2025-01-17 09:30:00,232.12,229.72,232.29,230.39,23545784
2025-01-17 10:30:00,230.4,230.35,231.65,231.28,6640810
2025-01-17 11:30:00,231.29,229.49,231.32,230.26,5636143
2025-01-17 12:30:00,230.27,229.89,230.44,229.91,3639331
2025-01-17 13:30:00,229.91,228.48,229.95,229.18,4427468
2025-01-17 14:30:00,229.18,229.08,229.77,229.44,4408527
2025-01-17 15:30:00,229.44,229.23,230.12,229.88,7308844
2025-01-21 09:30:00,224.0,220.8,224.42,221.77,22854523
2025-01-21 10:30:00,221.78,219.7,222.1,220.11,13429246
2025-01-21 11:30:00,220.1,219.38,220.77,220.36,9452336
2025-01-21 12:30:00,220.36,220.0,221.07,220.41,6314944
2025-01-21 13:30:00,220.4,220.37,221.69,221.61,6914874
2025-01-21 14:30:00,221.61,220.31,221.67,221.65,7105491
2025-01-21 15:30:00,221.64,221.34,222.79,222.14,8199601
2025-01-22 09:30:00,219.79,219.79,223.35,221.63,14820879
2025-01-22 10:30:00,221.64,221.55,223.08,222.86,6740180
2025-01-22 11:30:00,222.86,221.7,222.93,222.57,5094757
2025-01-22 12:30:00,222.57,222.02,222.85,222.12,3953925
2025-01-22 13:30:00,222.12,221.91,222.87,222.75,3384690
2025-01-22 14:30:00,222.75,222.42,223.6,223.35,5606526
2025-01-22 15:30:00,223.37,223.06,224.12,223.44,7082943
2025-01-23 09:30:00,224.74,224.26,227.03,225.97,13331965
2025-01-23 10:30:00,225.97,224.37,226.37,225.18,6661747
2025-01-23 11:30:00,225.16,223.39,225.2,223.57,5263415
2025-01-23 12:30:00,223.57,223.19,223.78,223.55,4733728
2025-01-23 13:30:00,223.56,222.43,223.64,222.8,4467596
2025-01-23 14:30:00,222.81,222.58,223.17,222.88,4096467
2025-01-23 15:30:00,222.87,222.3,223.9,223.2,9368299
2025-01-24 09:30:00,224.78,222.53,225.63,222.73,12623255
2025-01-24 10:30:00,222.74,222.35,223.37,222.76,6090488
2025-01-24 11:30:00,222.77,222.14,223.49,222.28,5067320
2025-01-24 12:30:00,222.28,221.94,222.72,222.16,3586520
2025-01-24 13:30:00,222.14,221.92,222.55,222.37,2912743
2025-01-24 14:30:00,222.35,221.41,222.93,222.32,4686575
2025-01-24 15:30:00,222.32,222.2,223.05,222.65,5690482
2025-01-27 09:30:00,224.02,223.98,227.7,227.29,18961693
2025-01-27 10:30:00,227.3,227.09,228.83,228.49,9564897
2025-01-27 11:30:00,228.49,228.18,230.14,230.09,8524007
2025-01-27 12:30:00,230.09,229.81,231.38,231.32,6765733
2025-01-27 13:30:00,231.3,230.99,232.15,232.03,7080625
2025-01-27 14:30:00,232.03,230.14,232.03,230.68,9414382
2025-01-27 15:30:00,230.68,228.48,231.38,230.19,11513871
2025-01-28 09:30:00,230.85,230.81,237.79,237.62,19243219
2025-01-28 10:30:00,237.65,237.63,239.45,239.08,12274776
2025-01-28 11:30:00,239.06,238.16,240.19,238.55,8384751
2025-01-28 12:30:00,238.55,238.24,239.25,238.74,3769038
2025-01-28 13:30:00,238.76,238.59,239.1,238.82,3352798
2025-01-28 14:30:00,238.82,238.31,239.48,238.84,4869995
2025-01-28 15:30:00,238.88,237.76,238.98,238.29,6685195
2025-01-29 09:30:00,234.12,234.01,237.13,236.84,9113417
2025-01-29 10:30:00,236.81,236.43,238.0,236.52,4857204
2025-01-29 11:30:00,236.52,236.13,237.22,236.87,4055800
2025-01-29 12:30:00,236.87,235.45,237.44,237.43,3924058
2025-01-29 13:30:00,237.44,236.31,237.66,236.45,2766740
2025-01-29 14:30:00,236.44,236.35,239.24,239.05,4886221
2025-01-29 15:30:00,239.06,238.72,239.98,239.35,5565071
2025-01-30 09:30:00,238.67,238.09,240.79,238.45,8082487
2025-01-30 10:30:00,238.46,237.21,239.04,238.2,6211732
2025-01-30 11:30:00,238.18,237.81,238.88,238.03,3222110
2025-01-30 12:30:00,238.03,237.91,238.77,238.45,2684082
